sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
sector 9a,flat,oriental valley chs,1.5,8108.0,1850.0,Carpet area: 1850 (171.87 sq.m.),4,3,3+,8.0,Na,Moderately New Property,,,1850.0,0,0,0,0,0,1,35
sector 99,flat,assotech blith,0.92,6739.0,1365.0,Super Built up area 1365(126.81 sq.m.),2,2,3+,22.0,Na,Under Construction,1365.0,,,0,0,0,0,0,1,56
sector 7,flat,rwa,0.48,6000.0,800.0,Carpet area: 800 (74.32 sq.m.),3,2,1,1.0,North-East,New Property,,,800.0,0,0,0,0,0,1,21
sector 86,flat,microtek greenburg,1.25,8445.0,1480.0,Super Built up area 1480(137.5 sq.m.),2,2,3,13.0,West,Moderately New Property,1480.0,,,0,1,0,0,0,1,6
sector 102,flat,shapoorji pallonji joyville gurugram,1.95,13928.0,1400.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,6.0,North-East,New Property,1852.0,,1400.0,0,0,0,1,0,0,174
sector 99,flat,assotech blith,0.82,6007.0,1365.0,Built Up area: 1365 (126.81 sq.m.),2,2,3,0.0,Na,Undefined,,1365.0,,0,0,0,0,0,1,51
sector 70a,house,bptp astaire gardens,1.18,8137.0,1450.17,Carpet area: 1450 (134.71 sq.m.),3,3,3+,2.0,North-East,Relatively new property,,,1450.0,0,0,1,0,0,0,153
sector 10a,flat,maxworth city residences,0.9,7083.0,1271.0,Super Built up area 1200(111.48 sq.m.),2,2,3,9.0,East,New Property,1200.0,,,0,0,1,0,0,1,52
sector 43,house,independent,2.15,13030.0,1650.04,Built Up area: 1650 (153.29 sq.m.),1,1,0,1.0,Na,Undefined,,1650.0,,0,0,0,0,0,1,0
sector 104,flat,godrej summit,1.3,7893.0,1647.0,Super Built up area 1647(153.01 sq.m.),3,3,3,8.0,Na,New Property,1647.0,,,0,0,1,0,0,1,103
sector 82,flat,vatika the seven lamps,1.28,6819.0,1877.0,Super Built up area 1877(174.38 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3,3.0,North,Relatively new property,1877.0,1800.0,1500.0,0,1,0,0,0,0,165
sector 49,flat,vatika city,2.1,10418.0,2016.0,Super Built up area 2015.58(187.25 sq.m.)Built Up area: 1604.25 sq.ft. (149.04 sq.m.),3,3,3,9.0,South,Moderately New Property,2015.58,1604.25,,0,0,0,1,0,0,132
sector 92,flat,gls avenue 51,0.45,6000.0,750.0,Carpet area: 750 (69.68 sq.m.),3,3,1,10.0,North-East,Relatively new property,,,750.0,0,0,0,0,0,1,0
sohna road,flat,breez global heights,0.39,4105.0,950.0,Super Built up area 950(88.26 sq.m.)Built Up area: 720 sq.ft. (66.89 sq.m.)Carpet area: 610 sq.ft. (56.67 sq.m.),2,2,2,3.0,Na,Relatively new property,950.0,720.0,610.0,0,0,0,0,0,1,0
sector 26,house,dlf city phase 1,3.25,33129.0,981.01,Plot area 109(91.14 sq.m.),3,3,3,2.0,West,Old Property,,981.0,,0,1,0,0,0,1,79
sector 95,flat,sidhartha ncr greens,0.6,5576.0,1076.0,Super Built up area 1076(99.96 sq.m.),2,2,2,14.0,Na,Relatively new property,1076.0,,,0,1,0,0,0,1,31
sector 59,flat,raisina residency,5.0,13058.0,3829.0,Carpet area: 3829 (355.73 sq.m.),4,4,3+,13.0,North-West,Relatively new property,,,3829.0,1,1,0,1,1,0,174
sector 107,flat,m3m woodshire,0.9,5867.0,1534.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),2,2,3,8.0,South,Relatively new property,1534.0,,1056.0,0,1,0,0,0,0,74
sector 39,house,independent,1.8,21875.0,822.86,Plot area 900(83.61 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),1,1,2,3.0,North-East,Relatively new property,,800.0,720.0,0,0,0,0,0,1,0
sector 37d,flat,bptp terra,1.77,8078.0,2191.0,Super Built up area 2191(203.55 sq.m.)Carpet area: 1860 sq.ft. (172.8 sq.m.),4,3,3,15.0,North,Relatively new property,2191.0,,1860.0,1,1,1,1,0,1,49
sector 85,flat,ss the leaf,1.58,7714.0,2048.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 2048 sq.ft. (190.27 sq.m.),3,4,3,8.0,East,Relatively new property,2408.0,,2048.0,1,0,0,0,0,1,159
sector 3 phase 3 extension,house,independent,1.5,5000.0,3000.0,Built Up area: 3000 (278.71 sq.m.),6,1,0,1.0,Na,New Property,,3000.0,,0,0,0,0,0,1,0
sector 102,flat,conscient heritage max,1.82,9371.0,1942.0,Super Built up area 1942(180.42 sq.m.),3,4,3+,15.0,East,Moderately New Property,1942.0,,,1,0,0,0,0,1,125
sector 88a,flat,godrej oasis,1.4,7567.0,1850.0,Super Built up area 1850(171.87 sq.m.),3,3,3+,4.0,East,Relatively new property,1850.0,,,0,0,0,0,0,0,38
sector 2,flat,bestech park view residency,1.5,7825.0,1917.0,Super Built up area 1920(178.37 sq.m.),3,4,3+,10.0,North-East,Moderately New Property,1920.0,,,1,0,0,0,0,1,93
sector 37c,flat,ild greens,0.78,5714.0,1365.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1.0,North,Moderately New Property,1365.0,1068.1,900.0,0,0,0,0,0,0,103
sector 37c,flat,imperia the esfera,0.99,5454.0,1815.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1510 sq.ft. (140.28 sq.m.),3,4,3,9.0,North-East,Relatively new property,1815.0,,1510.0,1,0,0,0,0,1,49
sector 85,flat,orris aster court premier,1.25,5896.0,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,4,2,5.0,North,Relatively new property,2120.0,1900.0,1800.0,1,0,0,0,0,0,174
sector 70a,flat,aipl the peaceful homes,2.8,11914.0,2350.0,Super Built up area 2350(218.32 sq.m.)Carpet area: 1322 sq.ft. (122.82 sq.m.),3,4,3,22.0,North-East,Relatively new property,2350.0,,1322.0,1,0,0,0,0,1,49
sector 43,house,independent,5.5,2716.0,20250.37,Plot area 215(179.77 sq.m.)Built Up area: 2850 sq.yards (2382.96 sq.m.)Carpet area: 2250 sq.yards (1881.29 sq.m.),8,7,3+,3.0,East,Moderately New Property,,2850.0,2250.0,1,1,1,1,0,0,123
sector 70,flat,shree vardhman victoria,1.66,14254.0,1165.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,8.0,North,Relatively new property,1950.0,,1161.0,1,0,0,0,0,1,108
sector 12,house,independent,0.7,4117.0,1700.27,Plot area 1700(157.94 sq.m.),4,4,1,2.0,Na,Moderately New Property,,1700.0,,0,0,0,0,0,1,0
sector 70,flat,shree vardhman victoria,1.55,7948.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,3,3,6.0,South-East,Relatively new property,1950.0,,1161.0,1,1,1,1,0,1,49
sector 52,flat,ansal api sushant estate,0.29,11600.0,250.0,Carpet area: 250 (23.23 sq.m.),1,1,0,0.0,Na,Moderately New Property,,,250.0,0,0,0,0,0,0,49
sector 30,flat,afnhb jalvayu vihar,1.45,11153.0,1300.0,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1090 sq.ft. (101.26 sq.m.),3,2,2,2.0,North,Old Property,,1300.0,1090.0,0,0,0,0,0,2,75
sector 102,flat,emaar gurgaon greens,1.3,7878.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1155 sq.ft. (107.3 sq.m.),3,3,3,7.0,North-East,Relatively new property,1650.0,,1155.0,1,0,0,0,0,1,93
sector 7,house,independent,1.2,11194.0,1072.0,Built Up area: 1072 (99.59 sq.m.),5,4,2,3.0,Na,Undefined,,1072.0,,0,0,0,0,0,1,0
sector 49,flat,satya element one,0.8,11111.0,720.0,Built Up area: 720 (66.89 sq.m.),1,1,1,0.0,Na,Undefined,,720.0,,0,0,0,0,0,1,0
sector 90,flat,dlf new town heights,1.6,6768.0,2364.0,Super Built up area 2364(219.62 sq.m.),4,4,3+,10.0,West,Relatively new property,2364.0,,,1,0,0,1,0,1,88
sector 89,flat,ats marigold,1.5,8571.0,1750.0,Carpet area: 1750 (162.58 sq.m.),3,3,3,2.0,Na,New Property,,,1750.0,0,0,1,0,0,1,49
sector 68,flat,espire south,1.32,9050.0,1459.0,Built Up area: 1460 (135.64 sq.m.),2,2,2,9.0,Na,New Property,,1460.0,,0,0,0,0,0,1,0
sector 26,house,independent,17.0,37627.0,4518.03,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively new property,,4518.0,,1,1,0,1,1,0,124
sector 69,flat,tulip violet,3.1,9822.0,3156.0,Super Built up area 3156(293.2 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,6,3+,14.0,North,Relatively new property,3156.0,,2500.0,1,0,0,1,0,1,174
sohna road,flat,signature global park,0.56,6812.0,822.0,Carpet area: 822 (76.37 sq.m.),2,2,3,3.0,South,New Property,,,822.0,0,0,0,0,0,1,81
sector 37c,flat,imperia the esfera,0.87,5513.0,1578.0,Super Built up area 1578(146.6 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1110 sq.ft. (103.12 sq.m.),2,3,3+,5.0,North-West,Relatively new property,1578.0,1300.0,1110.0,0,1,0,0,0,1,109
sector 92,flat,sare petioles,1.3,6373.0,2040.0,Built Up area: 2040 (189.52 sq.m.),4,4,0,7.0,Na,Undefined,,2040.0,,0,0,0,0,0,1,0
sector 79,flat,godrej,1.34,8524.0,1572.0,Super Built up area 1572(146.04 sq.m.),2,2,3,2.0,North-West,Relatively new property,1572.0,,,0,1,0,0,0,1,158
sector 50,flat,the close north,2.7,9980.0,2705.0,Super Built up area 2605(242.01 sq.m.),3,3,3+,3.0,South,Moderately New Property,2605.0,,,1,0,0,0,0,1,117
sector 37c,flat,ild grand,1.2,6593.0,1820.0,Super Built up area 1820(169.08 sq.m.),3,3,3,7.0,Na,Under Construction,1820.0,,,0,0,0,0,0,1,24
sector 110,flat,indiabulls enigma,3.49,10264.0,3400.0,Super Built up area 3400(315.87 sq.m.),4,5,3,7.0,North-West,Relatively new property,3400.0,,,1,0,0,0,0,1,165
sector 54,flat,suncity heights,3.25,14118.0,2302.0,Carpet area: 2302 (213.86 sq.m.),3,3,3+,0.0,East,Old Property,,,2302.0,0,0,0,1,0,0,120
sector 9,flat,wings apartment,1.2,6666.0,1800.0,Carpet area: 1800 (167.23 sq.m.),4,3,2,4.0,South-East,Moderately New Property,,,1800.0,0,0,0,0,0,0,23
sector 26,house,independent,6.75,27778.0,2429.98,Plot area 270(225.75 sq.m.),3,3,3,2.0,North-East,Moderately New Property,,2430.0,,0,0,0,0,0,1,27
sector 28,flat,maruti vihar,1.0,9090.0,1100.0,Super Built up area 1100(102.19 sq.m.),1,1,1,1.0,North,Old Property,1100.0,,,0,1,0,1,0,0,80
sector 86,flat,ansal heights 86,0.74,5441.0,1360.0,Super Built up area 1360(126.35 sq.m.),2,2,1,11.0,Na,Under Construction,1360.0,,,0,0,1,0,0,1,45
sector 106,flat,paras dews,1.34,9550.0,1403.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,5,3+,7.0,South-East,Relatively new property,2355.0,1535.0,1403.0,1,0,0,0,0,1,49
sector 102,flat,emaar gurgaon greens,1.3,7878.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,4.0,East,Relatively new property,1650.0,,1022.58,1,0,0,0,0,0,125
sector 104,flat,ats triumph,1.73,7554.0,2290.0,Super Built up area 2290(212.75 sq.m.),3,4,3+,15.0,North-East,Relatively new property,2290.0,,,1,0,0,0,0,1,159
sector 104,flat,hero homes,1.4,15826.0,885.0,Super Built up area 1389(129.04 sq.m.)Carpet area: 884.58 sq.ft. (82.18 sq.m.),3,2,2,4.0,North,Under Construction,1389.0,,884.58,0,0,0,0,0,1,49
sector 48,flat,vipul world floors,4.3,13870.0,3100.0,Carpet area: 3100 (288 sq.m.),4,5,3+,4.0,East,New Property,,,3100.0,1,1,0,1,0,1,88
sector 102,flat,conscient heritage max,2.2,10237.0,2149.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,9.0,South-East,Moderately New Property,2149.0,,,1,1,0,0,0,1,125
sector 105,house,independent,0.38,76000.0,50.0,Carpet area: 50 (4.65 sq.m.),2,2,2,1.0,Na,Undefined,,,50.0,0,0,0,0,0,1,0
sector 69,flat,tulip violet,1.4,8928.0,1568.0,Super Built up area 1568(145.67 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,1,12.0,North,Relatively new property,1568.0,,1200.0,0,0,0,1,0,1,174
sector 69,flat,tulip violet,1.92,15360.0,1250.0,Carpet area: 1250 (116.13 sq.m.),4,4,2,0.0,South,Relatively new property,,,1250.0,0,0,0,0,0,1,174
sector 69,flat,tulip violet,1.7,8432.0,2016.0,Super Built up area 2010(186.74 sq.m.),4,4,2,10.0,South,New Property,2010.0,,,0,0,0,0,0,1,125
sector 102,flat,emaar imperial gardens,1.92,9600.0,2000.0,Carpet area: 2000 (185.81 sq.m.),3,3,3,12.0,North-East,Relatively new property,,,2000.0,1,1,0,1,1,1,95
sector 107,flat,m3m woodshire,1.2,6176.0,1943.0,Super Built up area 1943(180.51 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,7.0,South,Relatively new property,1943.0,1750.0,1550.0,0,0,0,0,0,0,49
sohna road road,flat,micasa sec 68,1.5,12244.0,1225.0,Carpet area: 1225 (113.81 sq.m.),2,2,3,11.0,Na,New Property,,,1225.0,0,0,0,0,0,1,44
sector 14,house,independent,3.4,15111.0,2250.02,Plot area 250(209.03 sq.m.),3,3,3,1.0,North-West,Old Property,,2250.0,,0,0,0,0,0,1,32
sector 88a,flat,godrej oasis,1.15,9856.0,1167.0,Carpet area: 108.4,2,2,1,12.0,Na,New Property,,,108.4,0,1,0,0,0,1,79
sector 67a,flat,ireo the corridors,1.5,11111.0,1350.0,Carpet area: 1350 (125.42 sq.m.),2,2,2,10.0,Na,Relatively new property,,,1350.0,0,0,0,0,1,0,38
sector 85,flat,godrej air,1.8,13136.0,1370.0,Carpet area: 127.3,3,3,3,30.0,Na,Under Construction,,,127.3,0,0,0,0,0,1,45
sector 71,flat,chd avenue,1.25,6597.0,1895.0,Super Built up area 1743(161.93 sq.m.),3,4,2,14.0,North-East,Relatively new property,1743.0,,,1,1,1,1,0,2,128
sector 90,flat,shree vardhman flora,0.86,6254.0,1375.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1375 sq.ft. (127.74 sq.m.),3,4,3,0.0,North,Relatively new property,1950.0,1525.0,1375.0,1,0,0,0,0,0,84
sector 113,flat,la vida by tata housing,3.35,16750.0,2000.0,Super Built up area 2691(250 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,12.0,North-East,New Property,2691.0,2200.0,2000.0,1,1,0,0,0,1,174
sector 88b,flat,vatika xpressions,0.92,6815.0,1350.0,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1120 sq.ft. (104.05 sq.m.),2,2,3,3.0,Na,New Property,,1350.0,1120.0,0,0,0,0,0,1,26
sector 99a,flat,prime habitat,0.32,4657.0,687.0,Super Built up area 687(63.82 sq.m.)Built Up area: 601 sq.ft. (55.83 sq.m.)Carpet area: 448 sq.ft. (41.62 sq.m.),2,2,1,7.0,Na,Relatively new property,687.0,601.0,448.0,0,0,0,0,0,1,44
sector 37d,flat,ramprastha primera,1.2,13333.0,900.0,Carpet area: 900 (83.61 sq.m.),3,3,3,5.0,North-East,Relatively new property,,,900.0,0,0,0,0,1,1,50
sector 85,flat,orris carnation residency,1.1,6686.0,1645.0,Super Built up area 1645(152.83 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,3,6.0,East,Moderately New Property,1645.0,,1300.0,1,0,0,0,0,2,65
sector 72,house,tata primanti,8.5,13492.0,6300.03,Plot area 6300(585.29 sq.m.),5,6,3+,10.0,East,Relatively new property,,6300.0,,1,1,0,1,1,0,145
sector 37c,flat,imperia the esfera,0.85,5386.0,1578.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,South-East,Relatively new property,1578.0,,1310.0,0,1,0,0,0,1,49
sector 69,flat,tulip violet,3.25,10105.0,3216.0,Super Built up area 3216(298.78 sq.m.),4,5,3+,14.0,Na,Relatively new property,3216.0,,,0,0,1,1,0,1,20
sector 106,flat,paras dews,0.92,6642.0,1385.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2.0,East,Relatively new property,1385.0,940.0,845.0,0,0,0,0,0,1,174
sector 36,house,independent,0.66,7168.0,920.76,Built Up area: 823 (76.46 sq.m.),2,2,3,4.0,Na,New Property,,823.0,,0,0,0,0,0,1,0
sector 37d,flat,signature global city,1.1,9838.0,1118.0,Carpet area: 1118 (103.87 sq.m.),2,2,2,4.0,South,Undefined,,,1118.0,0,0,0,0,0,1,59
sector 25,house,independent,10.0,37037.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3,3.0,North,Old Property,,2700.0,,1,0,0,0,1,0,64
sector 65,flat,m3m heights,2.33,18477.0,1261.0,Super Built up area 1261(117.15 sq.m.),2,2,3,35.0,North-East,Under Construction,1261.0,,,0,0,0,0,0,0,49
sector 37d,flat,ramprastha primera,1.08,6000.0,1800.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,9.0,South,Relatively new property,1800.0,1700.0,1600.0,0,0,0,0,0,1,158
sector 70,flat,shree vardhman victoria,1.9,9743.0,1950.0,Super Built up area 1950(181.16 sq.m.),3,3,3,10.0,North-East,New Property,1950.0,,,1,0,1,1,1,1,36
sector 37d,flat,ramprastha the edge towers,0.8,5797.0,1380.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,2.0,North-East,Relatively new property,1380.0,1300.0,1200.0,0,0,0,0,0,1,78
sector 43,house,independent,4.5,39062.0,1152.01,Plot area 128(107.02 sq.m.),20,20,3+,4.0,East,Relatively new property,,1152.0,,1,0,0,0,0,2,22
sector 102,flat,shapoorji pallonji joyville gurugram,1.1,12181.0,903.0,Super Built up area 903(83.89 sq.m.),2,2,1,8.0,Na,Under Construction,903.0,,,0,0,0,0,0,1,105
sector 102,flat,emaar gurgaon greens,1.49,9030.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,10.0,North-East,Relatively new property,1650.0,,1022.58,0,0,0,0,0,0,159
sector 86,flat,dlf new town heights,1.3,6735.0,1930.0,Super Built up area 1930(179.3 sq.m.),3,3,3,12.0,North,Moderately New Property,1930.0,,,1,0,0,0,0,0,165
sector 79,flat,godrej,1.34,8524.0,1572.0,Super Built up area 1572(146.04 sq.m.),3,3,3,7.0,East,Relatively new property,1572.0,,,0,0,0,0,0,1,158
gwal pahari,flat,krrish provence estate,5.5,9482.0,5800.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,11.0,East,New Property,5800.0,,,1,1,0,1,0,1,151
sector 99a,flat,raheja vanya,0.85,6789.0,1252.0,Super Built up area 1252(116.31 sq.m.),2,2,2,3.0,West,New Property,1252.0,,,0,0,0,0,0,1,43
sector 81,flat,vipul lavanya,0.65,5265.0,1235.0,Super Built up area 1225(113.81 sq.m.)Carpet area: 776 sq.ft. (72.09 sq.m.),2,2,2,14.0,Na,Moderately New Property,1225.0,,776.0,0,0,0,0,0,1,96
sector 99a,flat,pareena coban residences,1.05,6774.0,1550.0,Super Built up area 1550(144 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),2,2,3,2.0,East,Relatively new property,1550.0,1390.0,1240.0,0,1,0,0,0,1,49
sector 49,house,ss aaron ville,6.75,15000.0,4500.0,Built Up area: 4500 (418.06 sq.m.),5,4,2,2.0,North,New Property,,4500.0,,0,0,1,0,0,1,49
sector 37d,flat,ramprastha the edge towers,0.8,5797.0,1380.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,2.0,North-East,Relatively new property,1380.0,1300.0,1200.0,0,0,0,0,0,1,78
sector 95,flat,rof ananda,0.33,60.0,55000.0,Carpet area: 54917 (5101.96 sq.m.),2,2,1,13.0,South-West,Relatively new property,,,54917.0,0,0,0,0,0,1,37
sector 66,flat,emaar mgf palm terraces,4.5,10599.0,4246.0,Super Built up area 3670(340.95 sq.m.),5,5,3+,11.0,Na,New Property,3670.0,,,1,0,0,0,0,1,105
sector 89,flat,smart world gems,1.16,10500.0,1105.0,Super Built up area 1103(102.47 sq.m.),3,2,3,1.0,Na,New Property,1103.0,,,0,1,0,0,0,1,49
sector 111,flat,puri diplomatic greens,2.58,11727.0,2200.0,Super Built up area 2200(204.39 sq.m.),3,4,2,10.0,North,Moderately New Property,2200.0,,,1,0,0,0,0,1,86
sohna road,flat,signature global park,0.87,7190.0,1210.0,Built Up area: 1210 (112.41 sq.m.)Carpet area: 870 sq.ft. (80.83 sq.m.),3,2,3,4.0,Na,Undefined,,1210.0,870.0,0,0,0,0,0,1,58
sector 7,flat,"m m residency, krishna colony, gurgaon",0.54,5888.0,917.0,Carpet area: 900 (83.61 sq.m.),2,2,1,3.0,East,Relatively new property,,,900.0,0,0,0,0,0,1,70
sector 70a,flat,capital residences 360,1.15,11500.0,1000.0,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,4.0,East,New Property,1450.0,1400.0,1000.0,0,0,0,1,0,1,132
sector 102,flat,shapoorji pallonji joyville gurugram,0.95,10383.0,915.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 858 sq.ft. (79.71 sq.m.),2,2,2,14.0,North-West,Undefined,,915.0,858.0,0,0,0,0,0,1,0
sector 110,flat,indiabulls enigma,3.6,10588.0,3400.0,Super Built up area 3400(315.87 sq.m.),4,5,3,7.0,North,Relatively new property,3400.0,,,1,0,0,0,0,1,165
sector 65,flat,m3m golfestate,5.0,18518.0,2700.0,Super Built up area 2979(276.76 sq.m.)Built Up area: 2800 sq.ft. (260.13 sq.m.)Carpet area: 2700 sq.ft. (250.84 sq.m.),3,3,3+,28.0,North-East,Relatively new property,2979.0,2800.0,2700.0,1,0,0,1,0,0,165
sector 48,flat,central park resorts,9.3,24926.0,3731.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),4,4,3+,10.0,North-East,Moderately New Property,3931.0,3831.0,3731.0,1,1,0,1,1,0,67
sector 50,house,independent,7.0,32407.0,2160.03,Built Up area: 240 (200.67 sq.m.),3,2,0,1.0,Na,Undefined,,240.0,,0,0,0,0,0,1,0
sector 50,house,unitech espace,7.35,41762.0,1759.97,Plot area 240(200.67 sq.m.),4,4,3+,3.0,South,Moderately New Property,,240.0,,1,0,0,1,0,0,52
sector 7,house,independent,2.0,13889.0,1439.99,Plot area 160(133.78 sq.m.),2,2,2,2.0,North-West,Old Property,,1440.0,,0,0,0,0,0,1,22
sector 12,house,jacobpura,0.53,14583.0,363.44,Plot area 360(33.45 sq.m.),4,4,2,3.0,East,Relatively new property,,360.0,,0,0,0,0,0,1,0
sector 65,flat,m3m skycity,3.5,17039.0,2054.0,Carpet area: 2054 (190.82 sq.m.),3,3,3,15.0,East,New Property,,,2054.0,1,1,0,1,0,0,166
sector 28,flat,essel tower,2.2,12500.0,1760.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3.0,Na,Moderately New Property,,,1760.0,1,0,0,0,0,2,0
sector 54,flat,shree arihant apartment,1.55,8611.0,1800.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3,3.0,North-East,Moderately New Property,2000.0,1900.0,1800.0,1,0,0,0,0,0,109
sector 50,flat,ss hibiscus,6.0,12272.0,4889.0,Super Built up area 4400(408.77 sq.m.),4,3,3,5.0,South-East,Moderately New Property,4400.0,,,1,0,0,0,0,1,31
sector 49,house,eros rosewood city,1.6,31481.0,508.24,Plot area 60(50.17 sq.m.),4,4,3,4.0,East,New Property,,60.0,,0,0,0,0,0,0,27
sector 106,flat,paras dews,1.35,7297.0,1850.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4,4,3+,18.0,North-East,Relatively new property,2355.0,2100.0,1850.0,1,0,0,1,0,0,174
sector 65,flat,emaar mgf emerald floors premier,2.9,14683.0,1975.0,Carpet area: 1975 (183.48 sq.m.),4,4,0,0.0,North,Relatively new property,,,1975.0,0,0,0,0,1,1,50
sector 89,flat,m3m soulitude,1.25,8784.0,1423.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,3.0,Na,New Property,,,1423.0,0,1,0,0,0,1,49
sector 13,house,independent,0.9,11464.0,785.07,Plot area 785(72.93 sq.m.),5,4,3,3.0,North-West,Moderately New Property,,785.0,,1,1,1,1,0,1,0
sector 82,flat,vatika india next,0.8,6426.0,1245.0,Carpet area: 1245 (115.66 sq.m.),2,2,3,9.0,Na,Undefined,,,1245.0,0,0,0,0,0,1,0
sector 69,flat,tulip violet,1.28,8111.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,12.0,South-West,Relatively new property,1578.0,,,0,0,0,1,0,0,49
sector 50,house,ss hibiscus,12.25,20940.0,5850.05,Plot area 5850(543.48 sq.m.),5,7,3+,1.0,South-East,Relatively new property,,5850.0,,1,1,1,1,0,0,160
sector 99,flat,assotech blith,1.15,6593.0,1744.0,Super Built up area 1365(126.81 sq.m.),2,2,2,2.0,Na,New Property,1365.0,,,0,0,1,0,0,0,72
sector 109,house,international city by sobha phase 1,5.5,21605.0,2545.71,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,New Property,,2430.0,,1,0,0,0,0,1,61
sector 69,flat,tulip violet,1.4,8920.0,1570.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12.0,East,Relatively new property,1568.0,,,0,0,0,1,0,1,86
sector 102,flat,suncity avenue,0.47,8928.0,526.0,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5.0,South-East,Relatively new property,632.0,,532.0,0,0,0,0,1,1,142
sector 108,flat,raheja vedaanta,1.5,5263.0,2850.0,Built Up area: 2850 (264.77 sq.m.),3,4,0,12.0,Na,Undefined,,2850.0,,0,0,0,0,0,1,0
