,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
840,sector 50,house,ss hibiscus,12.5,40850.0,3059.98,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3+,2.0,West,Relatively new property,,410.0,340.0,1,1,0,0,0,2,160
858,sector 40,house,independent,9.5,40135.0,2367.01,Plot area 263(219.9 sq.m.),12,12,3+,4.0,Na,New Property,,2367.0,,0,0,0,0,1,0,57
860,sector 66,house,emaar mgf marbella,9.0,21251.0,4235.09,Plot area 5605(520.72 sq.m.)Built Up area: 5200 sq.ft. (483.1 sq.m.)Carpet area: 4235 sq.ft. (393.44 sq.m.),4,4,3+,,South-West,Relatively new property,,5200.0,4235.0,1,0,0,1,1,0,114
868,sector 50,house,unitech aspen greens,6.8,31481.0,2160.03,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,5,3,3.0,West,Old Property,,220.0,200.0,1,1,0,0,0,0,111
869,sector 43,house,independent,7.5,38760.0,1934.98,Plot area 215(179.77 sq.m.),12,12,3+,4.0,East,New Property,,1935.0,,1,1,0,1,1,0,72
892,sector 43,house,independent,8.49,31444.0,2700.04,Plot area 300(250.84 sq.m.),3,3,2,4.0,North,Relatively new property,,2700.0,,1,0,0,1,0,0,21
896,sector 25,house,dlf city plots phase 2,6.5,33592.0,1934.98,Plot area 215(179.77 sq.m.),9,9,3+,3.0,West,Old Property,,1935.0,,1,1,0,1,1,0,142
904,sector 54,flat,dlf the grove,5.7,41245.0,1382.0,Built Up area: 1382 (128.39 sq.m.),3,3,3,1.0,East,Undefined,,1382.0,,0,0,0,0,0,1,46
905,sector 25,house,independent,13.5,37313.0,3618.04,Plot area 402(336.12 sq.m.),5,6,3+,4.0,North-East,Old Property,,3618.0,,0,0,1,0,0,0,79
910,sector 43,house,ansal sushant lok plots,11.5,17692.0,6500.11,Plot area 3762(349.5 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6500 sq.ft. (603.87 sq.m.),7,8,3+,3.0,Na,Old Property,,9000.0,6500.0,1,0,0,1,1,0,31
914,sector 62,flat,pioneer araya,9.95,20995.0,4739.0,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4,6,3,12.0,South-East,Relatively new property,4739.0,,3219.0,1,0,0,1,0,0,138
925,sector 54,flat,la lagune,6.75,21360.0,3160.0,Super Built up area 3160(293.57 sq.m.)Built Up area: 2455 sq.ft. (228.08 sq.m.)Carpet area: 2240 sq.ft. (208.1 sq.m.),4,6,3+,11.0,East,Moderately New Property,3160.0,2455.0,2240.0,1,0,0,0,0,0,119
928,sector 17b,house,independent,7.2,15926.0,4520.91,Plot area 420,4,4,2,1.0,Na,Old Property,,4494.0,,1,0,0,0,1,1,0
930,sector 48,flat,central park resorts,15.0,22388.0,6700.0,Carpet area: 6700 (622.45 sq.m.),5,6,3+,17.0,Na,Relatively new property,,,6700.0,1,1,0,1,0,2,45
933,sector 17b,house,kothi,6.95,15444.0,4500.13,Plot area 500(418.06 sq.m.)Built Up area: 3500 sq.yards (2926.45 sq.m.),4,4,3+,2.0,Na,Old Property,,3500.0,,1,1,0,1,1,1,33
936,sector 24,house,independent,10.0,229885.0,435.0,Carpet area: 435 (40.41 sq.m.),8,10,3+,1.0,West,Undefined,,,435.0,0,0,0,0,0,1,0
939,sector 109,house,international city by sobha phase 2,5.65,10463.0,5399.98,Plot area 600(501.68 sq.m.),4,4,3+,2.0,North-East,New Property,,5400.0,,1,0,1,0,0,0,44
944,sector 47,house,malibu towne,8.81,27191.0,3240.04,Plot area 360(301.01 sq.m.),8,6,3+,3.0,East,Moderately New Property,,3240.0,,1,1,1,0,0,0,27
949,sector 31,house,independent,9.25,39530.0,2339.99,Plot area 265(221.57 sq.m.)Built Up area: 262 sq.yards (219.07 sq.m.)Carpet area: 260 sq.yards (217.39 sq.m.),12,12,3+,4.0,North-East,New Property,,262.0,260.0,1,0,1,1,0,2,49
958,sector 67,house,ireo victory valley,8.0,22222.0,3600.04,Plot area 400(334.45 sq.m.),6,7,3+,51.0,North-East,Moderately New Property,,3600.0,,1,1,0,1,0,0,49
959,sector 41,house,unitech palms south city 1,9.35,28858.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 7500 sq.ft. (696.77 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),10,10,3+,4.0,North-East,Moderately New Property,,7500.0,6000.0,1,1,0,0,0,0,70
968,sector 53,flat,parsvnath exotica,6.5,19174.0,3390.0,Super Built up area 3390(314.94 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,5,3+,10.0,South,Relatively new property,3390.0,3000.0,2500.0,1,1,0,1,0,0,174
976,sector 31,flat,raheja atlantis,5.5,18688.0,2943.0,Super Built up area 2943(273.41 sq.m.),4,5,3+,1.0,North,Relatively new property,2943.0,,,1,1,0,1,0,1,81
978,sector 109,house,international city by sobha phase 1,6.1,25103.0,2429.99,Plot area 270(225.75 sq.m.),5,6,3+,2.0,Na,Moderately New Property,,2430.0,,1,0,0,0,0,1,30
981,sector 26,house,independent,10.5,43210.0,2429.99,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 270 sq.yards (225.75 sq.m.),12,12,3+,4.0,North-East,Relatively new property,,300.0,270.0,1,0,0,1,0,0,72
992,sector 26,house,dlf city plots,20.0,44265.0,4518.24,Plot area 502(419.74 sq.m.),16,20,3+,4.0,North-East,New Property,,4518.0,,1,1,0,1,1,0,153
996,sector 109,house,international city by sobha phase 1,6.0,9634.0,6227.94,Plot area 692(578.6 sq.m.),4,5,3,2.0,North-East,Moderately New Property,,6228.0,,0,0,0,0,0,1,76
1000,sector 33,house,unitech uniworld resorts,11.5,24573.0,4679.93,Plot area 520(434.79 sq.m.),5,6,3+,4.0,East,Relatively new property,,4680.0,,1,0,0,0,0,1,84
1005,sector 112,house,experion windchants,7.99,12519.0,6382.3,Built Up area: 6382 (592.91 sq.m.),4,6,3,2.0,South-East,New Property,,6382.0,,1,0,0,1,1,0,129
1011,sector 25,flat,dlf beverly park,8.0,15384.0,5200.0,Carpet area: 5200 (483.1 sq.m.),5,5,3+,2.0,North-East,Old Property,,,5200.0,1,1,1,1,0,2,26
1018,sector 48,house,vipul tatvam villa,8.25,38194.0,2160.03,Plot area 350(292.64 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),4,4,3+,3.0,North-East,Relatively new property,,300.0,240.0,1,0,0,0,1,0,160
1024,sector 53,flat,vipul belmonte,6.5,21922.0,2965.0,Super Built up area 2965(275.46 sq.m.),3,4,3+,0.0,Na,Old Property,2965.0,,,0,1,1,0,0,1,72
