,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
2646,sector 107,flat,signature global solera,0.51,7907.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,9.0,South,Relatively new property,,,645.0,0,0,1,0,0,1,15,215.0
2697,sohna road,flat,mvn athens,0.25,5198.0,481.0,Built Up area: 481 (44.69 sq.m.),2,2,0,0.0,Na,Relatively new property,,481.0,,0,0,0,0,0,1,37,240.5
2750,sector 47,house,independent,5.15,26615.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Relatively new property,,1935.0,,0,0,0,0,1,0,75,215.0
2762,sector 4,house,independent,0.6,11696.0,513.0,Plot area 57(5.3 sq.m.),3,3,1,2.0,Na,Old Property,,57.0,,0,0,1,0,0,1,0,171.0
2787,sector 17,house,iffco nagar and 17b rwa,3.5,24305.0,1440.03,Plot area 1440(133.78 sq.m.),6,5,3,3.0,East,Old Property,,1440.0,,0,0,0,0,0,1,44,240.005
2794,sector 4,house,independent,0.8,11852.0,674.99,Plot area 75(62.71 sq.m.),5,3,1,2.0,Na,Moderately New Property,,675.0,,0,0,0,0,0,1,0,134.998
2804,sector 11,house,independent,3.5,15555.0,2250.08,Built Up area: 2250 (209.03 sq.m.),10,1,0,1.0,Na,New Property,,2250.0,,0,0,0,0,0,1,0,225.00799999999998
2819,sohna road,flat,gls arawali homes,0.28,5983.0,468.0,Carpet area: 468 (43.48 sq.m.),2,2,2,3.0,Na,Relatively new property,,,468.0,0,0,0,0,0,1,42,234.0
2824,sector 107,flat,signature global solera,0.28,5726.0,489.0,Carpet area: 489 (45.43 sq.m.),2,2,2,6.0,West,Relatively new property,,,489.0,0,0,0,0,0,1,45,244.5
2840,sector 6,house,"bhim nagar, sector 6",0.85,14096.0,603.0,Plot area 67(6.22 sq.m.),5,2,2,1.0,Na,Old Property,,67.0,,0,0,0,1,0,1,29,120.6
2849,sector 46,house,independent,4.35,23693.0,1835.99,Plot area 204(170.57 sq.m.),8,8,2,3.0,North-East,Relatively new property,,1836.0,,0,1,0,1,0,0,19,229.49875
2870,sector 8,house,independent,0.49,11250.0,435.56,Plot area 360(33.45 sq.m.),6,3,2,3.0,East,Moderately New Property,,360.0,,0,0,0,0,0,1,8,72.59333333333333
2992,sector 92,flat,gls avenue 51,0.39,6075.0,642.0,Carpet area: 641.74 (59.62 sq.m.),3,3,3+,6.0,North,Relatively new property,,,641.743718,0,0,0,0,0,1,104,214.0
3021,sector 92,flat,gls avenue 51,0.5,7812.0,640.0,Carpet area: 640 (59.46 sq.m.),3,3,1,12.0,Na,New Property,,,640.0,0,0,0,0,0,2,95,213.33333333333334
3022,sector 107,flat,signature global solera,0.28,5622.0,498.0,Carpet area: 489 (45.43 sq.m.),2,2,2,14.0,North-West,Relatively new property,,,489.0,0,0,0,0,0,1,38,249.0
