sector,property_type,price,bedRoom,bathroom,balcony,floor_category,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category
sector 89,flat,1.25,3,3,0,Mid floor,New Property,1423.0,0,0,1,Medium
sector 84,flat,1.24,3,3,3,Mid floor,Relatively new property,1650.0,0,0,0,High
sector 70a,flat,1.25,3,3,2,Low floor,Relatively new property,1300.0,0,0,1,Low
sector 41,house,4.25,2,9,3+,Mid floor,Moderately New Property,1619.97,1,0,0,Low
sector 79,flat,1.65,3,3,0,High floor,Relatively new property,1815.0,0,0,1,Low
sector 84,flat,1.1,3,3,3+,High floor,Moderately New Property,1710.0,0,0,0,Medium
sector 91,flat,1.5,3,4,3+,Mid floor,Relatively new property,1786.0,1,0,1,Medium
sector 37d,flat,1.75,4,4,3,Mid floor,Relatively new property,2100.0,0,0,0,Medium
sector 56,flat,1.35,3,2,2,Low floor,Old Property,1275.0,0,0,1,High
sector 70,flat,2.35,4,4,3+,Mid floor,Moderately New Property,2667.0,1,0,0,Medium
sector 104,flat,0.2,1,2,2,Mid floor,New Property,334.0,0,0,1,Medium
sector 77,flat,2.1,3,3,3,High floor,New Property,1833.0,1,0,1,Low
sohna road,flat,0.7,3,3,3,Low floor,Relatively new property,1281.0,0,0,1,High
sector 28,flat,2.0,3,3,1,High floor,Old Property,1240.0,0,0,0,Medium
sector 2,house,5.0,6,4,0,Mid floor,Moderately New Property,4000.0,0,0,1,Low
sector 84,flat,1.49,3,3,3,Mid floor,Relatively new property,1833.0,1,0,1,Low
sector 37c,flat,1.1,3,4,3,Mid floor,Relatively new property,1899.0,1,0,1,Low
sector 85,flat,1.83,3,3,3+,High floor,Under Construction,2032.0,0,0,1,Medium
sector 65,flat,1.9,2,2,2,High floor,Relatively new property,1358.0,0,0,1,Low
sector 37d,flat,0.6,2,2,3,Mid floor,New Property,625.0,0,0,1,Low
sector 3,house,0.55,1,1,0,Low floor,Moderately New Property,750.0,0,0,1,Low
sohna road,flat,0.46,2,2,2,Mid floor,Relatively new property,800.0,0,0,2,Medium
sector 27,house,4.25,5,5,3+,Mid floor,Relatively new property,1350.02,1,0,0,Low
sector 102,flat,2.1,3,4,3+,Mid floor,Relatively new property,1945.0,1,0,1,Medium
sector 12,flat,0.6,2,2,1,Low floor,New Property,800.0,0,0,2,Low
sector 83,flat,1.55,3,3,3,Mid floor,Relatively new property,1400.0,1,0,0,High
sector 22,house,4.7,6,6,3+,Low floor,Old Property,2368.12,0,1,0,Medium
sector 43,flat,6.2,4,4,3+,Mid floor,Moderately New Property,2712.0,1,0,1,Low
