sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
sector 102,flat,conscient heritage max,2.5,11633.0,2149.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,25.0,North-East,New Property,2149.0,,,1,1,0,0,0,0,56,716.3333333333334
sector 106,flat,paras dews,1.05,8537.0,1230.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1345 sq.ft. (124.95 sq.m.)Carpet area: 1230 sq.ft. (114.27 sq.m.),3,4,3+,10.0,North-East,Relatively new property,1760.0,1345.0,1230.0,1,0,0,0,0,1,174,410.0
sector 31,flat,raheja atlantis,5.5,18688.0,2943.0,Super Built up area 2943(273.41 sq.m.),4,5,3+,1.0,North,Relatively new property,2943.0,,,1,1,0,1,0,1,81,735.75
sector 1,flat,samadhan shri kamal cghs,2.01,11427.0,1759.0,Carpet area: 1760 (163.51 sq.m.),4,4,3+,10.0,Na,Moderately New Property,,,1760.0,0,0,0,0,0,2,0,439.75
sector 109,house,international city by sobha phase 1,6.1,25103.0,2429.99,Plot area 270(225.75 sq.m.),5,6,3+,2.0,Na,Moderately New Property,,2430.0,,1,0,0,0,0,1,30,485.99799999999993
sector 92,flat,sare homes,0.71,5354.0,1326.0,Carpet area: 1326 (123.19 sq.m.),3,3,3,2.0,North-West,Relatively new property,,,1326.0,0,0,0,1,0,1,108,442.0
sector 70a,flat,capital residences 360,1.1,7586.0,1450.0,Super Built up area 1450(134.71 sq.m.),2,2,3+,8.0,Na,New Property,1450.0,,,0,0,0,0,0,1,60,725.0
sector 47,flat,unitech uniworld gardens,1.05,10532.0,997.0,Carpet area: 997 (92.62 sq.m.),2,2,2,3.0,North-East,Relatively new property,,,997.0,0,0,0,0,0,0,34,498.5
sector 81,flat,bestech park view grand spa,4.7,6786.0,6926.0,Super Built up area 6926(643.45 sq.m.),4,4,3+,19.0,North,Relatively new property,6926.0,,,1,0,0,0,0,0,140,1731.5
sector 71,flat,signature andour heights,0.37,8222.0,450.0,Built Up area: 450 (41.81 sq.m.)Carpet area: 366.48 sq.ft. (34.05 sq.m.),1,1,2,2.0,North-East,Relatively new property,,450.0,366.48,0,0,0,0,0,1,65,450.0
sector 4,house,not applicable,0.4,9259.0,432.01,Plot area 432(40.13 sq.m.),1,1,1,1.0,Na,Moderately New Property,,432.0,,0,0,0,0,0,1,0,432.01
sector 57,house,ansals florence villa,3.3,19820.0,1664.98,Plot area 185(154.68 sq.m.),4,3,3+,2.0,East,Moderately New Property,,1665.0,,1,1,0,1,1,1,151,416.245
sector 70a,house,bptp pedestal,0.92,7750.0,1187.1,Carpet area: 1187 (110.28 sq.m.),2,3,3+,3.0,North-East,New Property,,,1187.0,0,0,1,0,0,1,153,593.55
sohna road,flat,hcbs sports ville,0.38,5067.0,750.0,Built Up area: 750 (69.68 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2,2,2,9.0,East,Undefined,,750.0,650.0,0,0,0,0,0,1,0,375.0
sector 69,house,tulip yellow,2.95,16389.0,1799.99,Plot area 200(167.23 sq.m.),4,3,2,3.0,North,New Property,,1800.0,,0,0,1,1,0,2,111,449.9975
sohna road,flat,breez global hill view,0.3,5405.0,555.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2,2,2,6.0,North-East,New Property,655.0,,555.0,0,0,0,0,0,1,109,277.5
sector 43,house,independent,2.55,13178.0,1935.04,Built Up area: 215 (179.77 sq.m.),3,3,2,3.0,Na,Relatively new property,,215.0,,0,0,0,0,0,0,60,645.0133333333333
sector 70a,house,bptp pedestal,0.9,7582.0,1187.02,Carpet area: 1187 (110.28 sq.m.),2,2,3+,3.0,North-East,New Property,,,1187.0,1,0,1,0,0,1,153,593.51
sector 91,flat,tarc maceo,0.9,6870.0,1310.0,Super Built up area 1310(121.7 sq.m.),2,2,2,13.0,East,Relatively new property,1310.0,,,0,0,0,0,0,2,67,655.0
sector 109,house,international city by sobha phase 1,6.0,9634.0,6227.94,Plot area 692(578.6 sq.m.),4,5,3,2.0,North-East,Moderately New Property,,6228.0,,0,0,0,0,0,1,76,1556.985
